sample-id	absolute-filepath	direction
SRR25781641	/data/SRR25781641.fastq	forward
SRR25781671	/data/SRR25781671.fastq	forward
SRR25781756	/data/SRR25781756.fastq	forward
SRR25781792	/data/SRR25781792.fastq	forward
SRR25781827	/data/SRR25781827.fastq	forward
SRR25781835	/data/SRR25781835.fastq	forward
SRR25781850	/data/SRR25781850.fastq	forward
SRR25781893	/data/SRR25781893.fastq	forward
SRR25781907	/data/SRR25781907.fastq	forward
SRR25781923	/data/SRR25781923.fastq	forward
SRR25781709 	/data/SRR25781709.fastq	forward
SRR25781707	/data/SRR25781707.fastq	forward
SRR25781890	/data/SRR25781890.fastq	forward
SRR25781740	/data/SRR25781740.fastq	forward
SRR25781760	/data/SRR25781760.fastq	forward
SRR25781830	/data/SRR25781830.fastq	forward
SRR25781819	/data/SRR25781819.fastq	forward
SRR25781682	/data/SRR25781682.fastq	forward
SRR25781796	/data/SRR25781796.fastq	forward
SRR25781882	/data/SRR25781882.fastq	forward
