sample-id	sample_type	state	
SRR25781923	manure	Kansas
SRR25781671	manure	Kansas
SRR25781827	manure	Kansas
SRR25781907	manure	Oklahoma
SRR25781893	manure	Oklahoma
SRR25781792	manure	Oklahoma
SRR25781641	manure	Texas
SRR25781756	manure	Texas
SRR25781850	manure	Texas
SRR25781835	manure	Texas
SRR25781709 	fly	Kansas
SRR25781707	fly	Kansas
SRR25781890	fly	Kansas
SRR25781740	fly	Kansas
SRR25781760	fly	Kansas
SRR25781830	fly	Kansas
SRR25781819	fly	Kansas
SRR25781682	fly	Kansas
SRR25781796	fly	Kansas
SRR25781882	fly	Kansas












