sample-id	absolute-filepath-direction	direction
SRR25781709 	C:\SRA\fastq\SRR25781709.fastq	forward
SRR25781707	C:\SRA\fastq\SRR25781707.fastq	forward
SRR25781890	C:\SRA\fastq\SRR25781890.fastq	forward
SRR25781740	C:\SRA\fastq\SRR25781740.fastq	forward
SRR25781760	C:\SRA\fastq\SRR25781760.fastq	forward
SRR25781830	C:\SRA\fastq\SRR25781830.fastq	forward
SRR25781819	C:\SRA\fastq\SRR25781819.fastq	forward
SRR25781682	C:\SRA\fastq\SRR25781682.fastq	forward
SRR25781796	C:\SRA\fastq\SRR25781796.fastq	forward
SRR25781882	C:\SRA\fastq\SRR25781882.fastq	forward
